Source Page (URL),Source Section,Anchor Text,Target Page (URL),Entity Included,Link Type,Direction,Priority,Status,Last Updated,Notes
/tentang-kami,Final CTA,Hubungi Kami,https://wa.me/6281936444486,No,External,N/A,High,Live,2024-12-26,WhatsApp contact
/kontak,Breadcrumb,Beranda,/,No,Navigation,Up,Low,Live,2024-12-26,Breadcrumb navigation
/kontak,Contact Methods,[Dynamic Contact],[Dynamic Link],No,External,N/A,High,Live,2024-12-26,WhatsApp/Phone/Email links
/kontak,Quick Contact,Kirim Pesan WhatsApp,[Dynamic WhatsApp],No,External,N/A,High,Live,2024-12-26,Pre-filled WhatsApp message
/kontak,Locations,Lihat di Maps,[Dynamic Maps URL],No,External,N/A,Medium,Live,2024-12-26,Branch-specific maps
/kontak,Final CTA,Lihat Semua Lokasi,/lokasi,No,Location,Lateral,Medium,Live,2024-12-26,Full locations page
/kontak,Final CTA,Chat Sekarang,https://wa.me/6281936444486,No,External,N/A,High,Live,2024-12-26,WhatsApp conversion
/upload/pas-foto,Error Page,Hubungi Kami,https://wa.me/6281936444486,No,External,N/A,High,Live,2024-12-26,Error recovery - WhatsApp
/upload/pas-foto,Error Page,Kembali ke Layanan,/layanan/pas-foto,Yes,Service,Up,Medium,Live,2024-12-26,Error recovery - service page
/upload/canvas,Footer,Kembali ke Layanan,/layanan/cetak-canvas,Yes,Service,Up,Low,Live,2024-12-26,Back to service page link
/upload/canvas/size,Breadcrumb,Kembali,/upload/canvas,No,Navigation,Up,Low,Live,2024-12-26,Back to upload step 1
/upload/canvas/size,Checkout,Lanjut ke Checkout,/upload/canvas/checkout,No,Service,Down,High,Live,2024-12-26,Proceed to checkout
/upload/wall-decor,Customize,Customize Design,/upload/wall-decor/customize,No,Service,Down,High,Live,2024-12-26,Design customization flow
/upload/wall-decor,Footer,Lihat Layanan Canvas,/layanan/cetak-canvas,Yes,Service,Up,Low,Live,2024-12-26,Related service link
